ID	index	Hchain	Lchain	antigen_chain	antigen_type	date	resolution	method	r_free	r_factor	scfv	affinity	delta_g	temperature	pmid	type	L_cluster	H_cluster	Ag_cluster	all_clusters
3k3q_A!_CB	63	A	missing	C | B	protein | protein	02/23/10	2.6	X-RAY DIFFRACTION	0.256	0.218	False	None	None	None	None	Nanobody	missing	978	1|1	978:missing:1|1
3o0r_HL_BC	66	H	L	B | C	protein | protein	07/20/10	2.7	X-RAY DIFFRACTION	0.247	0.185	False	None	None	missing	missing	Fab	322	149	58|430	149:322:58|430
3sdy_HL_BA	67	H	L	B | A	protein | protein	06/09/11	2.85	X-RAY DIFFRACTION	0.235	0.202	False	1E-09	-12.48	30	21737702	Fab	193	361	47|47	361:193:47|47
3ze1_HL_AD	70	H	L	A | D	protein | protein	12/03/12	3.0	X-RAY DIFFRACTION	0.2330	0.1749	False	None	None	missing	missing	Fab	241	608	57|53	608:241:57|53
4hem_E!_CB	72	E	missing	C | B	protein | protein	03/20/13	1.65	X-RAY DIFFRACTION	0.177	0.167	False	None	None	None	None	Nanobody	missing	1152	390|390	1152:missing:390|390
4hlz_KL_FE	78	K	L	F | E	protein | protein	10/17/12	2.9	X-RAY DIFFRACTION	0.284	0.228	False	None	None	None	None	Fab	432	947	370|147	947:432:370|147
4m1g_HL_BA	80	H	L	B | A	protein | protein	08/02/13	1.6	X-RAY DIFFRACTION	0.226	0.201	False	None	None	None	None	Fab	242	609	613|596	609:242:613|596
4p2c_G!_BA	89	G	missing	B | A	protein | protein	07/30/14	2.818	X-RAY DIFFRACTION	0.253	0.187	False	None	None	None	None	Nanobody	missing	1032	626|193	1032:missing:626|193
4py8_IJ_BA	90	I	J	B | A	protein | protein	03/26/14	2.91	X-RAY DIFFRACTION	0.242	0.193	False	None	None	None	None	Fab	401	440	373|142	440:401:373|142
4qnp_EF_BA	91	E	F	B | A	protein | protein	02/11/15	2.8	X-RAY DIFFRACTION	0.224	0.181	False	None	None	None	None	Fab	433	182	92|92	182:433:92|92
5fuc_E!_CB	103	E	missing	C | B	protein | protein	01/25/17	2.7	X-RAY DIFFRACTION	0.287	0.231	False	None	None	None	None	Nanobody	missing	1097	323|374	1097:missing:323|374
5fuc_V!_DA	104	V	missing	D | A	protein | protein	01/25/17	2.7	X-RAY DIFFRACTION	0.287	0.231	False	None	None	None	None	Nanobody	missing	1097	323|412	1097:missing:323|412
5gjs_HL_BA	105	H	L	B | A	protein | protein	07/01/16	2.9	X-RAY DIFFRACTION	0.304	0.251	False	None	None	None	None	Fab	311	838	378|148	838:311:378|148
5j1t_C!_AB	113	C	missing	A | B	protein | protein	03/29/16	1.402	X-RAY DIFFRACTION	0.177	0.148	False	None	None	None	None	Nanobody	missing	1175	197|264	1175:missing:197|264
5omm_C!_AB	137	C	missing	A | B	protein | protein	08/01/17	1.7	X-RAY DIFFRACTION	0.193	0.166	False	None	None	None	None	Nanobody	missing	missing	158|158	missing:missing:158|158
5tq0_HL_AB	139	H	L	A | B	protein | protein	10/21/16	2.7	X-RAY DIFFRACTION	0.246	0.208	False	None	None	None	None	Fab	622	803	106|126	803:622:106|126
5u5m_BA_CE	142	B	A	C | E	protein | protein	12/06/16	1.88	X-RAY DIFFRACTION	0.197	0.161	False	None	None	None	None	Fab	244	212	654|637	212:244:654|637
5whk_HL_AB	154	H	L	A | B	protein | protein	07/17/17	2.5	X-RAY DIFFRACTION	0.225	0.169	False	None	None	None	None	Fab	434	839	213|559	839:434:213|559
5x2m_JK_CD	161	J	K	C | D	protein | protein	05/24/17	2.206	X-RAY DIFFRACTION	0.227	0.173	False	None	None	None	None	Fab	105	462	70|75	462:105:70|75
6apb_HL_CA	165	H	L	C | A	protein | protein	08/17/17	3.0	X-RAY DIFFRACTION	0.255	0.222	False	None	None	None	None	Fab	139	441	72|72	441:139:72|72
6b20_E!_BD	167	E	missing	B | D	protein | protein	05/30/18	2.34	X-RAY DIFFRACTION	0.249	0.200	False	None	None	None	None	Nanobody	missing	1320	124|645	1320:missing:124|645
6cw2_AB_DC	177	A	B	D | C	protein | protein	03/29/18	2.67	X-RAY DIFFRACTION	0.284	0.250	False	None	None	None	None	Fab	630	559	251|481	559:630:251|481
6cw3_AB_HG	178	A	B	H | G	protein | protein	03/29/18	1.98	X-RAY DIFFRACTION	0.227	0.203	False	None	None	None	None	Fab	40	103	324|584	103:40:324|584
6cw3_CD_FE	179	C	D	F | E	protein | protein	03/29/18	1.98	X-RAY DIFFRACTION	0.227	0.203	False	None	None	None	None	Fab	40	362	324|481	362:40:324|481
6e3h_HL_BA	186	H	L	B | A	protein | protein	07/14/18	2.9	X-RAY DIFFRACTION	0.248	0.205	False	None	None	None	None	Fab	52	121	363|146	121:52:363|146
6ehg_C!_BA	196	C	missing	B | A	protein | protein	09/13/17	2.65	X-RAY DIFFRACTION	unknown	unknown	False	None	None	None	None	Nanobody	missing	1099	11|18	1099:missing:11|18
6fgb_HL_AB	198	H	L	A | B	protein | protein	01/10/18	2.9	X-RAY DIFFRACTION	0.284	0.232	False	None	None	None	None	Fab	53	560	213|559	560:53:213|559
6fyt_I!_BA	199	I	missing	B | A	protein | protein	03/12/18	2.8	X-RAY DIFFRACTION	0.235	0.200	False	None	None	None	None	Nanobody	missing	1100	369|144	1100:missing:369|144
6fyw_C!_AB	203	C	missing	A | B	protein | protein	03/12/18	2.2	X-RAY DIFFRACTION	0.218	0.193	False	None	None	None	None	Nanobody	missing	998	131|535	998:missing:131|535
6gv4_HL_BA	205	H	L	B | A	protein | protein	06/20/18	2.8	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	688	1255	330|228	1255:688:330|228
6h6z_C!_AB	206	C	missing	A | B	protein | protein	12/19/18	2.085	X-RAY DIFFRACTION	0.217	0.178	False	None	None	None	None	Nanobody	missing	1049	185|185	1049:missing:185|185
6nha_HL_AB	233	H	L	A | B	protein | protein	12/21/18	2.381	X-RAY DIFFRACTION	0.245	0.190	False	None	None	None	None	Fab	435	840	213|559	840:435:213|559
6o1f_HL_AI	239	H	L	A | I	protein | protein	02/19/19	2.15	X-RAY DIFFRACTION	0.233	0.190	False	None	None	None	None	Fab	343	561	246|364	561:343:246|364
6s5a_HL_DA	272	H	L	D | A	protein | protein	07/01/19	1.72	X-RAY DIFFRACTION	0.226	0.196	False	None	None	None	None	Fab	436	302	304|304	302:436:304|304
6v4p_CD_BA	275	C	D	B | A	protein | protein	11/28/19	2.8	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	246	303	53|57	303:246:53|57
7kbk_C!_AB	330	C	missing	A | B	protein | protein	08/04/21	2.091	X-RAY DIFFRACTION	0.203	0.172	False	None	None	None	None	Nanobody	missing	1101	215|217	1101:missing:215|217
7kd0_C!_BA	334	C	missing	B | A	protein | protein	08/04/21	2.768	X-RAY DIFFRACTION	0.255	0.207	False	None	None	None	None	Nanobody	missing	1272	217|215	1272:missing:217|215
7kd2_C!_BA	335	C	missing	B | A	protein | protein	08/04/21	2.55	X-RAY DIFFRACTION	0.280	0.227	False	None	None	None	None	Nanobody	missing	1311	217|215	1311:missing:217|215
7kdu_C!_BA	339	C	missing	B | A	protein | protein	08/04/21	2.809	X-RAY DIFFRACTION	0.294	0.237	False	None	None	None	None	Nanobody	missing	1357	217|215	1357:missing:217|215
7kpb_HL_AC	342	H	L	A | C	protein | protein	11/10/20	3.0	X-RAY DIFFRACTION	0.256	0.223	False	None	None	None	None	Fab	344	804	408|408	804:344:408|408
7l1v_HH_AB	346	H	H	A | B	protein | protein	02/10/21	3.0	ELECTRON MICROSCOPY	missing	missing	True	None	None	None	None	scFv	8	21	282|124	21:8:282|124
7r89_CD_BA	360	C	D	B | A	protein | protein	09/08/21	2.6	ELECTRON MICROSCOPY	missing	missing	False	None	None	None	None	Fab	716	1321	41|30	1321:716:41|30
6xp6_HG_ACB	361	H	G	A | C | B	protein | peptide | protein	07/28/21	2.4	X-RAY DIFFRACTION	0.212	0.176	False	None	None	None	None	Fab	431	363	352|missing|356	363:431:352|missing|356
4jqi_HL_AV	368	H	L	A | V	protein | peptide	03/20/13	2.6	X-RAY DIFFRACTION	0.247	0.201	False	None	None	None	None	Fab	161	937	113|missing	937:161:113|missing
1bgx_HL_T	390	H	L	T	protein	06/02/98	2.3	X-RAY DIFFRACTION	0.253	0.189	False	None	None	None	None	Fab	561	899	14	899:561:14
1e6j_HL_P	397	H	L	P	protein	08/18/00	3.0	X-RAY DIFFRACTION	0.284	0.210	False	2.9E-08	-10.28	missing	11080628	Fab	514	442	310	442:514:310
1egj_HL_A	398	H	L	A	protein	02/15/00	2.8	X-RAY DIFFRACTION	0.288	0.228	False	None	None	None	None	Fab	194	365	547	365:194:547
1eo8_HL_A	399	H	L	A	protein	03/22/00	2.8	X-RAY DIFFRACTION	0.298	0.196	False	8.9E-09	-10.87	22	10899782	Fab	562	562	47	562:562:47
1fdl_HL_Y	402	H	L	Y	protein	08/27/90	2.5	X-RAY DIFFRACTION	unknown	0.184	False	None	None	None	None	Fab	248	497	458	497:248:458
1h0d_BA_C	413	B	A	C	protein	06/19/02	2.0	X-RAY DIFFRACTION	0.272	0.232	False	None	None	None	None	Fab	158	214	474	214:158:474
1iqd_BA_C	419	B	A	C	protein	07/21/01	2.0	X-RAY DIFFRACTION	0.253	0.203	False	1.4E-11	-14.8	missing	9657749	Fab	601	948	404	948:601:404
1jhl_HL_A	420	H	L	A	protein	05/04/93	2.4	X-RAY DIFFRACTION	unknown	0.214	False	None	None	None	None	Fab	690	1290	461	1290:690:461
1jps_HL_T	421	H	L	T	protein	08/03/01	1.85	X-RAY DIFFRACTION	0.224	0.201	False	1E-10	-13.63	25	11307801	Fab	253	766	318	766:253:318
1jrh_HL_I	422	H	L	I	protein	09/23/97	2.8	X-RAY DIFFRACTION	0.314	0.246	False	1.42E-08	-10.7	25	9367779	Fab	642	967	568	967:642:568
1ncc_HL_N	437	H	L	N	protein	01/21/92	2.5	X-RAY DIFFRACTION	unknown	0.212	False	None	None	None	None	Fab	250	305	87	305:250:87
1ndg_BA_C	438	B	A	C	protein	12/09/02	1.9	X-RAY DIFFRACTION	0.249	0.206	False	None	None	None	None	Fab	196	874	458	874:196:458
1nsn_HL_S	443	H	L	S	protein	06/06/95	2.8	X-RAY DIFFRACTION	unknown	0.195	False	1E-10	-13.63	missing	1704035	Fab	128	875	435	875:128:435
1oak_HL_A	444	H	L	A	protein	12/18/97	2.2	X-RAY DIFFRACTION	0.274	0.201	False	None	None	None	None	Fab	439	499	319	499:439:319
1ors_BA_C	448	B	A	C	protein	03/14/03	1.9	X-RAY DIFFRACTION	0.251	0.231	False	None	None	None	None	Fab	251	306	449	306:251:449
1osp_HL_O	449	H	L	O	protein	11/23/96	1.95	X-RAY DIFFRACTION	0.295	0.229	False	None	None	None	None	Fab	252	500	236	500:252:236
1qfu_HL_A	454	H	L	A	protein	04/14/99	2.8	X-RAY DIFFRACTION	0.284	0.198	False	3E-09	-11.5	22	10360354	Fab	59	215	47	215:59:47
1ri8_A!_B	457	A	missing	B	protein	11/17/03	1.85	X-RAY DIFFRACTION	0.196	0.173	False	2.9E-09	-11.64	missing	15659390	Nanobody	missing	1102	458	1102:missing:458
1rjc_A!_B	458	A	missing	B	protein	02/01/05	1.4	X-RAY DIFFRACTION	0.235	0.220	False	None	None	None	None	Nanobody	missing	1128	458	1128:missing:458
1rjl_BA_C	459	B	A	C	protein	11/19/03	2.6	X-RAY DIFFRACTION	0.235	0.191	False	None	None	None	None	Fab	440	308	569	308:440:569
1sy6_HL_A	462	H	L	A	protein	03/31/04	2.1	X-RAY DIFFRACTION	0.255	0.211	False	2.73E-06	-7.59	25	15136729	Fab	346	445	377	445:346:377
1tqb_BC_A	464	B	C	A	protein	06/17/04	2.55	X-RAY DIFFRACTION	0.268	0.214	False	None	None	None	None	Fab	55	805	541	805:55:541
1tzi_BA_V	467	B	A	V	protein	07/10/04	2.8	X-RAY DIFFRACTION	0.254	0.218	False	1E-08	-11.35	37	15306681	Fab	161	255	556	255:161:556
1uj3_BA_C	468	B	A	C	protein	07/25/03	2.1	X-RAY DIFFRACTION	0.227	0.196	False	None	None	None	None	Fab	253	563	318	563:253:318
1wej_HL_F	473	H	L	F	protein	03/26/98	1.8	X-RAY DIFFRACTION	0.256	0.200	False	1.58E-08	-10.63	25	7539913	Fab	240	216	537	216:240:537
1xfp_A!_L	474	A	missing	L	protein	09/28/04	1.5	X-RAY DIFFRACTION	0.216	0.201	False	None	None	None	None	Nanobody	missing	987	458	987:missing:458
1xgp_BA_C	475	B	A	C	protein	09/17/04	2.1	X-RAY DIFFRACTION	0.271	0.215	False	None	None	None	None	Fab	196	876	458	876:196:458
1yjd_HL_C	476	H	L	C	protein	01/14/05	2.7	X-RAY DIFFRACTION	0.282	0.239	False	None	None	None	None	Fab	440	564	487	564:440:487
1yqv_HL_Y	478	H	L	Y	protein	02/02/05	1.7	X-RAY DIFFRACTION	0.234	0.195	False	None	None	None	None	Fab	512	672	458	672:512:458
1zmy_A!_L	485	A	missing	L	protein	05/11/05	3.0	X-RAY DIFFRACTION	0.254	0.206	False	5.2E-08	-9.93	missing	16095608	Nanobody	missing	986	458	986:missing:458
1ztx_HL_E	486	H	L	E	protein	05/27/05	2.5	X-RAY DIFFRACTION	0.282	0.208	False	None	None	None	None	Fab	441	446	548	446:441:548
1zv5_A!_L	487	A	missing	L	protein	06/01/05	2.0	X-RAY DIFFRACTION	0.239	0.217	False	1E-08	-10.91	missing	16537393	Nanobody	missing	1231	458	1231:missing:458
1zvh_A!_L	488	A	missing	L	protein	04/04/06	1.5	X-RAY DIFFRACTION	0.234	0.208	False	None	None	None	None	Nanobody	missing	1103	458	1103:missing:458
2adf_HL_A	489	H	L	A	protein	07/20/05	1.9	X-RAY DIFFRACTION	0.220	0.191	False	None	None	None	None	Fab	345	501	340	501:345:340
2aeq_HL_A	490	H	L	A	protein	07/23/05	3.0	X-RAY DIFFRACTION	0.312	0.267	False	1.2E-08	-10.8	missing	16384583	Fab	702	1291	88	1291:702:88
2bdn_HL_A	495	H	L	A	protein	10/20/05	2.53	X-RAY DIFFRACTION	0.277	0.219	False	4.6E-12	-15.46	25	16682434	Fab	252	565	627	565:252:627
2cmr_HL_A	496	H	L	A	protein	05/11/06	2.0	X-RAY DIFFRACTION	0.258	0.209	False	5E-11	-14.04	25	16862157	Fab	533	938	336	938:533:336
2dd8_HL_S	497	H	L	S	protein	01/24/06	2.3	X-RAY DIFFRACTION	0.261	0.199	False	2E-08	-10.5	25	16597622	Fab	442	367	337	367:442:337
2eiz_BA_C	498	B	A	C	protein	03/14/07	1.9	X-RAY DIFFRACTION	0.253	0.214	False	None	None	None	None	Fab	703	1334	458	1334:703:458
2h32_HA_B	503	H	A	B	protein	04/24/07	2.7	X-RAY DIFFRACTION	0.295	0.267	False	None	None	None	None	Fab	669	842	491	842:669:491
2h8p_AB_C	504	A	B	C	protein	06/07/06	2.25	X-RAY DIFFRACTION	0.242	0.233	False	None	None	None	None	Fab	255	447	650	447:255:650
2ibz_XY_E	511	X	Y	E	protein	09/12/06	2.3	X-RAY DIFFRACTION	0.256	0.222	False	None	None	None	None	Fab	704	1026	345	1026:704:345
2j88_HL_A	514	H	L	A	protein	10/23/06	2.6	X-RAY DIFFRACTION	0.247	0.210	False	None	None	None	None	Fab	641	974	151	974:641:151
2jel_HL_P	515	H	L	P	protein	02/24/98	2.5	X-RAY DIFFRACTION	0.280	0.210	False	3.7E-09	-11.49	23	9671548	Fab	129	502	603	502:129:603
2oz4_HL_A	522	H	L	A	protein	02/23/07	2.7	X-RAY DIFFRACTION	0.253	0.204	False	None	None	None	None	Fab	255	913	214	913:255:214
2q8b_HL_A	527	H	L	A	protein	06/10/07	2.3	X-RAY DIFFRACTION	0.256	0.209	False	None	None	None	None	Fab	347	953	181	953:347:181
2qqn_HL_A	531	H	L	A	protein	07/26/07	2.2	X-RAY DIFFRACTION	0.207	0.159	False	None	None	None	None	Fab	256	122	406	122:256:406
2r0l_HL_A	541	H	L	A	protein	08/20/07	2.2	X-RAY DIFFRACTION	0.248	0.193	False	1.46E-08	-10.68	25	18077410	Fab	130	369	256	369:130:256
2vh5_HL_R	545	H	L	R	protein	11/19/07	2.7	X-RAY DIFFRACTION	0.291	0.211	False	None	None	None	None	Fab	718	1322	383	1322:718:383
2vxq_HL_A	549	H	L	A	protein	07/08/08	1.9	X-RAY DIFFRACTION	0.226	0.177	False	1.1E-10	-13.58	25	19201867	Fab	348	768	585	768:348:585
2vxs_JN_D	552	J	N	D	protein	07/09/08	2.63	X-RAY DIFFRACTION	0.264	0.213	False	2.1E-09	-11.83	missing	19835883	Fab	198	310	618	310:198:618
2vxt_HL_I	554	H	L	I	protein	07/10/08	1.49	X-RAY DIFFRACTION	0.196	0.162	False	5.33E-10	-12.64	missing	19553661	Fab	349	923	402	923:349:402
2w9e_HL_A	560	H	L	A	protein	01/23/09	2.9	X-RAY DIFFRACTION	0.269	0.207	False	1E-10	-13.63	missing	19204296	Fab	443	674	560	674:443:560
2xqb_HL_A	567	H	L	A	protein	09/01/10	2.6	X-RAY DIFFRACTION	0.31811	0.24441	False	5.2E-11	-14.02	missing	21167836	Fab	625	104	536	104:625:536
2xra_HL_A	570	H	L	A	protein	09/13/10	2.3	X-RAY DIFFRACTION	0.27943	0.23693	False	3.3E-09	-11.56	25	21124990	Fab	199	217	320	217:199:320
2xt1_B!_A	571	B	missing	A	protein	10/03/10	1.32	X-RAY DIFFRACTION	0.1835	0.1607	False	None	None	None	None	Nanobody	missing	1323	600	1323:missing:600
2xtj_DB_A	572	D	B	A	protein	10/10/10	2.7	X-RAY DIFFRACTION	0.25944	0.19992	False	4.4E-09	-11.39	25	20959675	Fab	705	988	34	988:705:34
2xwt_AB_C	573	A	B	C	protein	11/05/10	1.9	X-RAY DIFFRACTION	0.22674	0.17691	False	None	None	None	None	Fab	350	675	266	675:350:266
2ypv_HL_A	576	H	L	A	protein	11/01/12	1.8	X-RAY DIFFRACTION	0.2246	0.1812	False	None	None	None	None	Fab	444	676	279	676:444:279
2zch_HL_P	577	H	L	P	protein	11/08/07	2.83	X-RAY DIFFRACTION	0.270	0.203	False	None	None	None	None	Fab	140	65	260	65:140:260
3bdy_HL_V	585	H	L	V	protein	11/15/07	2.6	X-RAY DIFFRACTION	0.252	0.194	False	3E-07	-8.89	missing	19299620	Fab	130	212	556	212:130:556
3bn9_DC_B	588	D	C	B	protein	12/13/07	2.173	X-RAY DIFFRACTION	0.267	0.223	False	None	None	None	None	Fab	147	843	252	843:147:252
3bn9_FE_A	589	F	E	A	protein	12/13/07	2.173	X-RAY DIFFRACTION	0.267	0.223	False	None	None	None	None	Fab	147	184	252	184:147:252
3bt2_HL_U	592	H	L	U	protein	12/27/07	2.5	X-RAY DIFFRACTION	0.272	0.229	False	None	None	None	None	Fab	514	807	223	807:514:223
3d85_BA_C	599	B	A	C	protein	05/22/08	1.9	X-RAY DIFFRACTION	0.214	0.171	False	None	None	None	None	Fab	352	613	447	613:352:447
3eba_A!_B	600	A	missing	B	protein	08/27/08	1.85	X-RAY DIFFRACTION	0.255	0.211	False	2.36E-09	-11.76	missing	19010777	Nanobody	missing	1178	455	1178:missing:455
3g04_BA_C	612	B	A	C	protein	01/27/09	2.55	X-RAY DIFFRACTION	0.245	0.181	False	None	None	None	None	Fab	445	677	266	677:445:266
3g9a_B!_A	614	B	missing	A	protein	02/13/09	1.614	X-RAY DIFFRACTION	0.194	0.161	False	None	None	None	None	Nanobody	missing	1010	271	1010:missing:271
3gi8_HL_C	615	H	L	C	protein	03/05/09	2.59	X-RAY DIFFRACTION	0.307	0.254	False	None	None	None	None	Fab	44	370	66	370:44:66
3grw_HL_A	616	H	L	A	protein	03/26/09	2.1	X-RAY DIFFRACTION	0.228	0.189	False	None	None	None	None	Fab	130	47	315	47:130:315
3hb3_CD_B	619	C	D	B	protein	05/04/09	2.25	X-RAY DIFFRACTION	0.280	0.218	False	None	None	None	None	Fab	692	1257	235	1257:692:235
3hmx_HL_A	624	H	L	A	protein	05/29/09	3.0	X-RAY DIFFRACTION	0.303	0.211	False	None	None	None	None	Fab	175	567	177	567:175:177
3idx_HL_G	625	H	L	G	protein	07/22/09	2.5	X-RAY DIFFRACTION	0.239	0.178	False	None	None	None	None	Fab	257	66	166	66:257:166
3k2u_HL_A	656	H	L	A	protein	09/30/09	2.35	X-RAY DIFFRACTION	0.290	0.239	False	1.6E-10	-13.36	25	20004165	Fab	271	679	256	679:271:256
3k74_B!_A	657	B	missing	A	protein	10/12/09	1.95	X-RAY DIFFRACTION	0.240	0.196	False	None	None	None	None	Nanobody	missing	1312	400	1312:missing:400
3k7u_A!_C	658	A	missing	C	protein	10/13/09	2.1	X-RAY DIFFRACTION	0.265	0.202	False	None	None	None	None	Nanobody	missing	1232	525	1232:missing:525
3kr3_HL_D	666	H	L	D	protein	11/17/09	2.2	X-RAY DIFFRACTION	0.251	0.199	False	4.9E-11	-14.06	25	20515953	Fab	258	503	643	503:258:643
3l5w_BA_J	669	B	A	J	protein	12/22/09	2.0	X-RAY DIFFRACTION	0.253	0.205	False	5.4E-11	-14	25	20226193	Fab	307	218	601	218:307:601
3l5w_HL_I	670	H	L	I	protein	12/22/09	2.0	X-RAY DIFFRACTION	0.253	0.205	False	5.4E-11	-14	25	20226193	Fab	307	218	549	218:307:549
3l5x_HL_A	671	H	L	A	protein	12/22/09	1.9	X-RAY DIFFRACTION	0.247	0.197	False	2.69E-10	-13.05	25	20226193	Fab	259	219	549	219:259:549
3ldb_CB_A	674	C	B	A	protein	01/12/10	2.7	X-RAY DIFFRACTION	0.285	0.250	False	None	None	None	None	Fab	131	878	136	878:131:136
3liz_HL_A	675	H	L	A	protein	01/25/10	1.8	X-RAY DIFFRACTION	0.202	0.177	False	None	None	None	None	Fab	515	769	141	769:515:141
3lzf_HL_A	676	H	L	A	protein	03/01/10	2.8	X-RAY DIFFRACTION	0.259	0.230	False	None	None	None	None	Fab	447	614	142	614:447:142
3mac_HL_A	677	H	L	A	protein	03/23/10	2.5	X-RAY DIFFRACTION	0.264	0.200	False	2E-07	-9.23	28	21085615	Fab	565	504	320	504:565:320
3mj9_HL_A	678	H	L	A	protein	04/12/10	2.95	X-RAY DIFFRACTION	0.287	0.222	False	7.69E-09	-11.06	25	21220118	Fab	589	879	280	879:589:280
3mxw_HL_A	679	H	L	A	protein	05/07/10	1.83	X-RAY DIFFRACTION	0.218	0.176	False	7E-10	-12.7	30	20504762	Fab	425	373	409	373:425:409
3nfp_AB_K	681	A	B	K	protein	06/10/10	2.86	X-RAY DIFFRACTION	0.301	0.253	False	2.7E-10	-13.05	25	20820193	Fab	448	721	514	721:448:514
3nfp_HL_I	682	H	L	I	protein	06/10/10	2.86	X-RAY DIFFRACTION	0.301	0.253	False	2.7E-10	-13.05	25	20820193	Fab	448	721	470	721:448:470
3nh7_HL_A	683	H	L	A	protein	06/14/10	2.7	X-RAY DIFFRACTION	0.280	0.234	False	2E-08	-10.5	25	20927405	Fab	566	924	605	924:566:605
3nps_BC_A	687	B	C	A	protein	06/29/10	1.5	X-RAY DIFFRACTION	0.228	0.188	False	None	None	None	None	Fab	516	123	252	123:516:252
3o2d_HL_A	688	H	L	A	protein	07/22/10	2.19	X-RAY DIFFRACTION	0.224	0.192	False	None	None	None	None	Fab	42	256	360	256:42:360
3p0y_HL_A	696	H	L	A	protein	09/29/10	1.8	X-RAY DIFFRACTION	0.215	0.181	False	1.92E-09	-12.36	37	22014573	Fab	271	505	24	505:271:24
3q1s_HL_I	710	H	L	I	protein	12/17/10	2.15	X-RAY DIFFRACTION	0.260	0.207	False	7.3E-08	-9.85	25	22033480	Fab	590	844	510	844:590:510
3qsk_B!_A	715	B	missing	A	protein	02/21/11	1.75	X-RAY DIFFRACTION	0.246	0.184	False	1E-07	-9.37	25	21766385	Nanobody	missing	1130	469	1130:missing:469
3r1g_HL_B	721	H	L	B	protein	03/10/11	2.8	X-RAY DIFFRACTION	0.268	0.222	False	1.3E-09	-12.12	25	21613622	Fab	161	568	94	568:161:94
3rjq_B!_A	728	B	missing	A	protein	04/15/11	2.601	X-RAY DIFFRACTION	0.299	0.255	False	None	None	None	None	Nanobody	missing	1027	182	1027:missing:182
3s35_HL_X	731	H	L	X	protein	05/17/11	2.2	X-RAY DIFFRACTION	0.259	0.203	False	None	None	None	None	Fab	105	845	512	845:105:512
3s37_HL_X	732	H	L	X	protein	05/17/11	2.7	X-RAY DIFFRACTION	0.315	0.282	False	None	None	None	None	Fab	449	300	512	300:449:512
3skj_HL_E	733	H	L	E	protein	06/22/11	2.5	X-RAY DIFFRACTION	0.271	0.216	False	8.1E-10	-12.4	missing	21867711	Fab	260	79	366	79:260:366
